Id,Label,timeset,type,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
辛亥革命 (n),辛亥革命,,notion,1,0,1,1,0,1,0.009138,10,0.189128,0.199952,0
胡经纬(1945),胡经纬,,author,0,1,1,0,1,1,0.000873,1,1,1,0
是非曲直 (n),是非曲直,,notion,1,0,1,1,0,1,0.000873,1,1,1,0
胡绳(1945),胡绳,,author,0,5,5,0,5,5,0.012553,9,0.194138,0.205175,7206.275503
一部 (n),一部,,notion,1,0,1,1,0,1,0.002122,10,0.162587,0.168696,0
二十四史 (n),二十四史,,notion,1,0,1,1,0,1,0.002122,10,0.162587,0.168696,0
从何说起 (n),从何说起,,notion,1,0,1,1,0,1,0.002122,10,0.162587,0.168696,0
二三 (n),二三,,notion,1,0,1,1,0,1,0.012202,8,0.1978,0.21046,0
人权 (n),人权,,notion,1,0,1,1,0,1,0.012202,8,0.1978,0.21046,0
吃得饱 (n),吃得饱,,notion,1,0,1,1,0,1,0.012202,8,0.1978,0.21046,0
士兵 (n),士兵,,notion,2,0,2,2,0,2,0.013816,8,0.198877,0.211953,851.749967
得到 (n),得到,,notion,1,0,1,1,0,1,0.012202,8,0.1978,0.21046,0
民运 (n),民运,,notion,1,0,1,1,0,1,0.012202,8,0.1978,0.21046,0
阳光 (n),阳光,,notion,1,0,1,1,0,1,0.012202,8,0.1978,0.21046,0
舒湮(1945),舒湮,,author,0,5,5,0,5,5,0.007058,11,0.174543,0.183999,4811.294654
宦官 (n),宦官,,notion,1,0,1,1,0,1,0.001748,12,0.148614,0.154148,0
没落 (n),没落,,notion,1,0,1,1,0,1,0.001748,12,0.148614,0.154148,0
舜生(1945),舜生,,author,0,2,2,0,2,2,0.008815,9,0.194105,0.203904,2418.200008
伪装 (n),伪装,,notion,1,0,1,1,0,1,0.012514,10,0.196273,0.209437,0
公开 (n),公开,,notion,1,0,1,1,0,1,0.012514,10,0.196273,0.209437,0
内容 (n),内容,,notion,1,0,1,1,0,1,0.012514,10,0.196273,0.209437,0
应取销 (n),应取销,,notion,1,0,1,1,0,1,0.012514,10,0.196273,0.209437,0
废发止 (n),废发止,,notion,1,0,1,1,0,1,0.012514,10,0.196273,0.209437,0
手法 (n),手法,,notion,1,0,1,1,0,1,0.012514,10,0.196273,0.209437,0
机构 (n),机构,,notion,2,0,2,2,0,2,0.025744,8,0.209536,0.224965,1150.303744
法令 (n),法令,,notion,1,0,1,1,0,1,0.012514,10,0.196273,0.209437,0
独占性 (n),独占性,,notion,1,0,1,1,0,1,0.012514,10,0.196273,0.209437,0
监督 (n),监督,,notion,1,0,1,1,0,1,0.012514,10,0.196273,0.209437,0
组织 (n),组织,,notion,2,0,2,2,0,2,0.022707,10,0.201101,0.215285,148.753985
艾艾(1945),艾艾,,author,0,1,1,0,1,1,0.000873,1,1,1,0
救国会 (n),救国会,,notion,1,0,1,1,0,1,0.000873,1,1,1,0
艾芜(1945),艾芜,,author,0,3,3,0,3,3,0.00314,11,0.13545,0.139745,4673
琐记 (n),琐记,,notion,1,0,1,1,0,1,0.00127,12,0.119298,0.122099,0
鲁彦 (n),鲁彦,,notion,1,0,1,1,0,1,0.00127,12,0.119298,0.122099,0
艾莤(1945),艾莤,,author,0,2,2,0,2,2,0.00218,2,0.75,0.833333,0.5
花西里(1945),花西里,,author,0,2,2,0,2,2,0.00413,11,0.167827,0.1764,2337
节约 (n),节约,,notion,1,0,1,1,0,1,0.001233,12,0.143718,0.148955,0
苏东(1945),苏东,,author,0,3,3,0,3,3,0.003952,11,0.139092,0.144508,2800.626077
慰劳 (n),慰劳,,notion,1,0,1,1,0,1,0.001345,12,0.122114,0.125529,0
伊朗 (n),伊朗,,notion,2,0,2,2,0,2,0.007843,10,0.177336,0.185703,0.166667
土耳其 (n),土耳其,,notion,2,0,2,2,0,2,0.007843,10,0.177336,0.185703,0.166667
真相 (n),真相,,notion,3,0,3,3,0,3,0.011399,10,0.186562,0.197417,274.501338
若愚(1945),若愚,,author,0,10,10,0,10,10,0.230665,9,0.260038,0.287005,36991.775764
阵营 (n),阵营,,notion,1,0,1,1,0,1,0.015998,10,0.206391,0.219087,0
苦人(1945),苦人,,author,0,2,2,0,2,2,0.003366,9,0.16312,0.170733,284.592253
难民 (n),难民,,notion,2,0,2,2,0,2,0.009168,8,0.19002,0.201434,2019.946979
官僚作风 (n),官僚作风,,notion,1,0,1,1,0,1,0.010192,10,0.193768,0.205742,0
敬向 (n),敬向,,notion,1,0,1,1,0,1,0.010192,10,0.193768,0.205742,0
死对头 (n),死对头,,notion,1,0,1,1,0,1,0.010192,10,0.193768,0.205742,0
