Id,Label,type,color,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
委员会,委员会,notion,"#FFFF00",0,8,8,0,12,12,0.05624,4,0.379613,0.42095,36717.390204
委屈,委屈,notion,"#FFFF00",0,1,1,0,1,1,0.009476,4,0.274301,0.294258,0
姜公美,姜公美,notion,"#FFFF00",0,1,1,0,1,1,0.00728,4,0.268473,0.284365,0
姜太公,姜太公,notion,"#FFFF00",0,1,1,0,1,1,0.00728,4,0.268473,0.284365,0
姿态,姿态,notion,"#FFFF00",0,3,3,0,3,3,0.02857,4,0.317488,0.356324,5799.027064
威海卫,威海卫,notion,"#FFFF00",0,1,1,0,1,1,0.002288,4,0.254732,0.259249,0
威胁,威胁,notion,"#FFFF00",0,8,8,0,15,15,0.05598,4,0.378302,0.419809,37231.03817
婴儿,婴儿,notion,"#FFFF00",0,1,1,0,1,1,0.011454,4,0.280506,0.304337,0
嫌联,嫌联,notion,"#FFFF00",0,1,1,0,1,1,0.006099,4,0.264467,0.277312,0
子夜,子夜,notion,"#FFFF00",0,2,2,0,2,2,0.012848,4,0.281034,0.305214,1174.91758
子女,子女,notion,"#FFFF00",0,1,1,0,1,1,0.00728,4,0.268473,0.284365,0
子敬,子敬,notion,"#FFFF00",0,1,1,0,1,1,0.005285,4,0.262245,0.273309,0
孔学,孔学,notion,"#FFFF00",0,1,1,0,1,1,0.006099,4,0.264467,0.277312,0
孔教,孔教,notion,"#FFFF00",0,1,1,0,1,1,0.001659,4,0.253302,0.256479,0
存亡,存亡,notion,"#FFFF00",0,1,1,0,2,2,0.009476,4,0.274301,0.294258,0
存在,存在,notion,"#FFFF00",0,3,3,0,4,4,0.017489,4,0.291452,0.321151,5254.966648
存废,存废,notion,"#FFFF00",0,2,2,0,2,2,0.013514,4,0.281845,0.306494,1394.844188
孙夫人,孙夫人,notion,"#FFFF00",0,2,2,0,2,2,0.009568,4,0.27194,0.29034,676.47901
孙院,孙院,notion,"#FFFF00",0,1,1,0,1,1,0.006099,4,0.264467,0.277312,0
孙院长,孙院长,notion,"#FFFF00",0,2,2,0,2,2,0.012848,4,0.281034,0.305214,1174.91758
孟姜女,孟姜女,notion,"#FFFF00",0,1,1,0,1,1,0.002872,4,0.256349,0.262345,0
孟子,孟子,notion,"#FFFF00",0,1,1,0,1,1,0.002872,4,0.256349,0.262345,0
学习团,学习团,notion,"#FFFF00",0,1,1,0,3,3,0.006171,4,0.266197,0.280385,0
学府,学府,notion,"#FFFF00",0,4,4,0,6,6,0.034212,4,0.327459,0.36835,10004.339078
学派,学派,notion,"#FFFF00",0,1,1,0,1,1,0.002288,4,0.254732,0.259249,0
学者,学者,notion,"#FFFF00",0,3,3,0,3,3,0.016302,4,0.287473,0.315216,3080.784418
学联,学联,notion,"#FFFF00",0,4,4,0,20,20,0.028591,4,0.31301,0.350729,6022.110808
守住,守住,notion,"#FFFF00",0,1,1,0,1,1,0.004463,4,0.259973,0.269142,0
守卫,守卫,notion,"#FFFF00",0,2,2,0,2,2,0.013616,4,0.281565,0.306052,1099.921957
安平,安平,notion,"#FFFF00",0,3,3,0,6,6,0.023801,4,0.30621,0.341822,4750.648872
安徽,安徽,notion,"#FFFF00",0,4,4,0,7,7,0.037863,4,0.341256,0.383783,13962.903296
安徽省,安徽省,notion,"#FFFF00",0,1,1,0,1,1,0.002288,4,0.254732,0.259249,0
宋庆龄,宋庆龄,notion,"#FFFF00",0,2,2,0,3,3,0.02197,4,0.304008,0.338827,2312.117782
宋教仁,宋教仁,notion,"#FFFF00",0,1,1,0,1,1,0.002872,4,0.256349,0.262345,0
完成,完成,notion,"#FFFF00",0,8,8,0,9,9,0.057269,4,0.383298,0.424115,46007.387294
宗教,宗教,notion,"#FFFF00",0,3,3,0,3,3,0.022789,4,0.304336,0.339308,4439.901475
宗旨,宗旨,notion,"#FFFF00",0,1,1,0,1,1,0.011454,4,0.280506,0.304337,0
官僚化,官僚化,notion,"#FFFF00",0,1,1,0,1,1,0.006099,4,0.264467,0.277312,0
官僚资本,官僚资本,notion,"#FFFF00",0,6,6,0,8,8,0.039499,4,0.33408,0.375993,16920.278947
官儿,官儿,notion,"#FFFF00",0,2,2,0,2,2,0.018734,4,0.297326,0.329586,2595.61257
官样文章,官样文章,notion,"#FFFF00",0,1,1,0,1,1,0.00728,4,0.268473,0.284365,0
官规,官规,notion,"#FFFF00",0,1,1,0,1,1,0.006099,4,0.264467,0.277312,0
官逼民反,官逼民反,notion,"#FFFF00",0,1,1,0,1,1,0.005285,4,0.262245,0.273309,0
定向,定向,notion,"#FFFF00",0,1,1,0,1,1,0.006099,4,0.264467,0.277312,0
定期,定期,notion,"#FFFF00",0,1,1,0,1,1,0.00728,4,0.268473,0.284365,0
定都,定都,notion,"#FFFF00",0,1,1,0,1,1,0.011454,4,0.280506,0.304337,0
宜中,宜中,notion,"#FFFF00",0,1,1,0,1,1,0.002872,4,0.256349,0.262345,0
实业公司,实业公司,notion,"#FFFF00",0,1,1,0,1,1,0.005285,4,0.262245,0.273309,0
实例,实例,notion,"#FFFF00",0,2,2,0,2,2,0.012271,4,0.279092,0.302118,1567.002576
实值,实值,notion,"#FFFF00",0,1,1,0,1,1,0.011454,4,0.280506,0.304337,0
实况,实况,notion,"#FFFF00",0,5,5,0,7,7,0.034384,4,0.331032,0.372509,13656.788591
实在,实在,notion,"#FFFF00",0,1,1,0,1,1,0.00728,4,0.268473,0.284365,0
实处,实处,notion,"#FFFF00",0,1,1,0,1,1,0.009476,4,0.274301,0.294258,0
实践,实践,notion,"#FFFF00",0,6,6,0,9,9,0.032025,4,0.321249,0.361049,18773.696124
客观,客观,notion,"#FFFF00",0,1,1,0,2,2,0.012494,4,0.283198,0.308574,0
宣传,宣传,notion,"#FFFF00",0,5,5,0,5,5,0.039525,4,0.338908,0.381285,16924.497788
宣传战,宣传战,notion,"#FFFF00",0,1,1,0,1,1,0.00728,4,0.268473,0.284365,0
宣慰,宣慰,notion,"#FFFF00",0,1,1,0,1,1,0.00728,4,0.268473,0.284365,0
宣扬,宣扬,notion,"#FFFF00",0,1,1,0,1,1,0.001659,4,0.253302,0.256479,0
家信,家信,notion,"#FFFF00",0,1,1,0,1,1,0.00728,4,0.268473,0.284365,0
家国,家国,notion,"#FFFF00",0,1,1,0,1,1,0.006171,4,0.266197,0.280385,0
家庭,家庭,notion,"#FFFF00",0,6,6,0,10,10,0.040018,4,0.341799,0.384443,23996.186129
容忍,容忍,notion,"#FFFF00",0,3,3,0,3,3,0.022771,4,0.304629,0.339704,5659.820175
宾阳,宾阳,notion,"#FFFF00",0,1,1,0,1,1,0.002872,4,0.256349,0.262345,0
宿县,宿县,notion,"#FFFF00",0,1,1,0,1,1,0.00728,4,0.268473,0.284365,0
寂寞,寂寞,notion,"#FFFF00",0,4,4,0,4,4,0.01847,4,0.28735,0.315068,3262.004297
