Id,Label,type,type2,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,color
萧冰,萧冰,author,author,0,1,1,0,2,2,0.003907,6,0.215879,0.228633,0,"#B4B4B4"
葆全,葆全,author,author,0,1,1,0,2,2,0.02742,6,0.266842,0.285979,0,"#B4B4B4"
葛罗米柯,葛罗米柯,author,author,0,1,1,0,9,9,0.02742,6,0.266842,0.285979,0,"#B4B4B4"
蒋天佐,蒋天佐,author,author,0,1,1,0,2,2,0.005711,6,0.251492,0.257067,0,"#B4B4B4"
蒋愈之,蒋愈之,author,author,0,1,1,0,2,2,0.02742,6,0.266842,0.285979,0,"#B4B4B4"
蒙沙,蒙沙,author,author,0,1,1,0,2,2,0.012383,4,0.259774,0.268723,0,"#B4B4B4"
薛尔盖叶华,薛尔盖叶华,author,author,0,1,1,0,2,2,0.02742,6,0.266842,0.285979,0,"#B4B4B4"
许力村,许力村,author,author,0,1,1,0,2,2,0.02742,6,0.266842,0.285979,0,"#B4B4B4"
诺斯,诺斯,author,author,0,3,3,0,4,4,0.04214,4,0.283621,0.309294,85235.797138,"#B4B4B4"
谢尔盖叶夫,谢尔盖叶夫,author,author,0,1,1,0,2,2,0.02742,6,0.266842,0.285979,0,"#B4B4B4"
贺绿汀,贺绿汀,author,author,0,1,1,0,2,2,0.012383,4,0.259774,0.268723,0,"#B4B4B4"
贺青,贺青,author,author,0,1,1,0,2,2,0.012383,4,0.259774,0.268723,0,"#B4B4B4"
赵元浩,赵元浩,author,author,0,3,3,0,4,4,0.025493,4,0.269343,0.285929,8399.564458,"#B4B4B4"
越缨,越缨,author,author,0,1,1,0,2,2,0.012383,4,0.259774,0.268723,0,"#B4B4B4"
达史,达史,author,author,0,1,1,0,2,2,0.004888,6,0.248475,0.254345,0,"#B4B4B4"
邵景康,邵景康,author,author,0,1,1,0,3,3,0.003907,6,0.215879,0.228633,0,"#B4B4B4"
郁坚,郁坚,author,author,0,1,1,0,2,2,0.021665,6,0.264331,0.280773,0,"#B4B4B4"
郭洛文,郭洛文,author,author,0,1,1,0,2,2,0.02742,6,0.266842,0.285979,0,"#B4B4B4"
醒民,醒民,author,author,0,1,1,0,2,2,0.006219,6,0.252022,0.258741,0,"#B4B4B4"
野叟,野叟,author,author,0,1,1,0,2,2,0.005711,6,0.251492,0.257067,0,"#B4B4B4"
金家秀,金家秀,author,author,0,1,1,0,3,3,0.012383,4,0.259774,0.268723,0,"#B4B4B4"
金重,金重,author,author,0,2,2,0,3,3,0.029427,6,0.274589,0.295048,88622.372016,"#B4B4B4"
金铃,金铃,author,author,0,1,1,0,2,2,0.013032,6,0.258164,0.269359,0,"#B4B4B4"
阿杨,阿杨,author,author,0,2,2,0,3,3,0.017091,4,0.264086,0.276635,5053.11066,"#B4B4B4"
阿莱克塞耶夫,阿莱克塞耶夫,author,author,0,1,1,0,2,2,0.02742,6,0.266842,0.285979,0,"#B4B4B4"
陈友松,陈友松,author,author,0,2,2,0,5,5,0.038372,6,0.282412,0.307658,43708.405706,"#B4B4B4"
陈本端,陈本端,author,author,0,2,2,0,4,4,0.027884,6,0.273556,0.293329,89563.943498,"#B4B4B4"
陈此生,陈此生,author,author,0,1,1,0,4,4,0.004888,6,0.248475,0.254345,0,"#B4B4B4"
陈衡哲,陈衡哲,author,author,0,1,1,0,10,10,0.016708,6,0.261497,0.274576,0,"#B4B4B4"
陈闲,陈闲,author,author,0,3,3,0,5,5,0.031134,6,0.274792,0.296626,63318.172763,"#B4B4B4"
非昔,非昔,author,author,0,2,2,0,3,3,0.018094,4,0.263841,0.276197,2037.286559,"#B4B4B4"
顾兹明诺夫,顾兹明诺夫,author,author,0,1,1,0,2,2,0.02742,6,0.266842,0.285979,0,"#B4B4B4"
顾德雷伐蒂赫,顾德雷伐蒂赫,author,author,0,1,1,0,2,2,0.02742,6,0.266842,0.285979,0,"#B4B4B4"
马可宁,马可宁,author,author,0,1,1,0,7,7,0.02742,6,0.266842,0.285979,0,"#B4B4B4"
高名凯,高名凯,author,author,0,1,1,0,2,2,0.016708,6,0.261497,0.274576,0,"#B4B4B4"
高觉敷,高觉敷,author,author,0,1,1,0,3,3,0.016708,6,0.261497,0.274576,0,"#B4B4B4"
鲁金,鲁金,author,author,0,1,1,0,2,2,0.021665,6,0.264331,0.280773,0,"#B4B4B4"
黄雨秋,黄雨秋,author,author,0,2,2,0,3,3,0.012419,6,0.258687,0.26857,3139.053594,"#B4B4B4"
黎洪,黎洪,author,author,0,3,3,0,4,4,0.02363,4,0.26997,0.287008,27319.951401,"#B4B4B4"
默君,默君,author,author,0,1,1,0,2,2,0.002337,6,0.233602,0.241207,0,"#B4B4B4"
（缅甸）Saw_Tun,（缅甸）Saw_Tun,author,author,0,1,1,0,3,3,0.021665,6,0.264331,0.280773,0,"#B4B4B4"
（美）福斯特,（美）福斯特,author,author,0,2,2,0,4,4,0.039803,4,0.281105,0.305293,12623.3766,"#B4B4B4"
（苏）卢敬珂,（苏）卢敬珂,author,author,0,1,1,0,2,2,0.02742,6,0.266842,0.285979,0,"#B4B4B4"
（苏）莫洛托夫,（苏）莫洛托夫,author,author,0,1,1,0,2,2,0.02742,6,0.266842,0.285979,0,"#B4B4B4"
A.K.,A.K.,author,author,0,1,1,0,1,1,0.003907,6,0.215879,0.228633,0,"#B4B4B4"
Andrc_Visson,Andrc_Visson,author,author,0,1,1,0,1,1,0.021665,6,0.264331,0.280773,0,"#B4B4B4"
Arnold_Burnett,Arnold_Burnett,author,author,0,1,1,0,1,1,0.021665,6,0.264331,0.280773,0,"#B4B4B4"
Blanter，M.,Blanter，M.,author,author,0,1,1,0,1,1,0.012383,4,0.259774,0.268723,0,"#B4B4B4"
C.L.,C.L.,author,author,0,1,1,0,1,1,0.00162,6,0.244736,0.248164,0,"#B4B4B4"
