Id,Label,type,color,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
拉铁摩尔,拉铁摩尔,author,"#B4B4B4",0,2,2,0,3,3,0.049244,4,0.293162,0.323615,0.001928
振寰,振寰,author,"#B4B4B4",0,1,1,0,1,1,0.009611,6,0.252652,0.263087,0
敏之,敏之,author,"#B4B4B4",0,1,1,0,1,1,0.009611,6,0.252652,0.263087,0
文宜,文宜,author,"#B4B4B4",0,1,1,0,1,1,0.007108,6,0.253755,0.261358,0
斯诺,斯诺,author,"#B4B4B4",0,1,1,0,1,1,0.009611,6,0.252652,0.263087,0
新武,新武,author,"#B4B4B4",0,1,1,0,5,5,0.009611,6,0.252652,0.263087,0
方与严,方与严,author,"#B4B4B4",0,2,2,0,2,2,0.013245,6,0.255428,0.269255,0.000258
方扬,方扬,author,"#B4B4B4",0,1,1,0,1,1,0.005299,6,0.245803,0.253432,0
方治平,方治平,author,"#B4B4B4",0,3,3,0,7,7,0.022856,4,0.271125,0.289063,0.001005
方禺,方禺,author,"#B4B4B4",0,1,1,0,1,1,0.009611,6,0.252652,0.263087,0
施佑铭,施佑铭,author,"#B4B4B4",0,1,1,0,1,1,0.014347,6,0.259963,0.272502,0
施复亮,施复亮,author,"#B4B4B4",0,8,8,0,34,34,0.11879,4,0.374692,0.417025,0.020513
施艾,施艾,author,"#B4B4B4",0,2,2,0,2,2,0.009501,6,0.248961,0.259988,0.00012
施贻,施贻,author,"#B4B4B4",0,1,1,0,1,1,0.004202,6,0.241655,0.249203,0
明养,明养,author,"#B4B4B4",0,1,1,0,1,1,0.015799,4,0.264026,0.276457,0
明子,明子,author,"#B4B4B4",0,1,1,0,1,1,0.014347,6,0.259963,0.272502,0
易水,易水,author,"#B4B4B4",0,1,1,0,1,1,0.014347,6,0.259963,0.272502,0
春光,春光,author,"#B4B4B4",0,1,1,0,1,1,0.007108,6,0.253755,0.261358,0
晓敷,晓敷,author,"#B4B4B4",0,1,1,0,2,2,0.014347,6,0.259963,0.272502,0
晶远,晶远,author,"#B4B4B4",0,1,1,0,1,1,0.007108,6,0.253755,0.261358,0
曹介植,曹介植,author,"#B4B4B4",0,1,1,0,1,1,0.014347,6,0.259963,0.272502,0
曹樸,曹樸,author,"#B4B4B4",0,1,1,0,1,1,0.007108,6,0.253755,0.261358,0
曾守约,曾守约,author,"#B4B4B4",0,1,1,0,1,1,0.004202,6,0.241655,0.249203,0
曾琦,曾琦,author,"#B4B4B4",0,1,1,0,1,1,0.005299,6,0.245803,0.253432,0
曾瑞,曾瑞,author,"#B4B4B4",0,1,1,0,1,1,0.014347,6,0.259963,0.272502,0
月伶,月伶,author,"#B4B4B4",0,1,1,0,1,1,0.014347,6,0.259963,0.272502,0
朝华,朝华,author,"#B4B4B4",0,1,1,0,1,1,0.005299,6,0.245803,0.253432,0
木林,木林,author,"#B4B4B4",0,1,1,0,1,1,0.015799,4,0.264026,0.276457,0
朱健飞,朱健飞,author,"#B4B4B4",0,1,1,0,1,1,0.007108,6,0.253755,0.261358,0
朱彬元,朱彬元,author,"#B4B4B4",0,1,1,0,1,1,0.014347,6,0.259963,0.272502,0
朱洗,朱洗,author,"#B4B4B4",0,1,1,0,1,1,0.014347,6,0.259963,0.272502,0
朱自珍,朱自珍,author,"#B4B4B4",0,1,1,0,1,1,0.014347,6,0.259963,0.272502,0
李健吾,李健吾,author,"#B4B4B4",0,2,2,0,6,6,0.047792,4,0.291433,0.321085,0.001526
李兆,李兆,author,"#B4B4B4",0,1,1,0,1,1,0.009611,6,0.252652,0.263087,0
李公朴,李公朴,author,"#B4B4B4",0,2,2,0,3,3,0.01701,6,0.262101,0.276528,0.000267
李善卷,李善卷,author,"#B4B4B4",0,1,1,0,1,1,0.015799,4,0.264026,0.276457,0
李时中,李时中,author,"#B4B4B4",0,1,1,0,1,1,0.014347,6,0.259963,0.272502,0
李自强,李自强,author,"#B4B4B4",0,1,1,0,1,1,0.014347,6,0.259963,0.272502,0
杜迈之,杜迈之,author,"#B4B4B4",0,1,1,0,1,1,0.007108,6,0.253755,0.261358,0
来秋,来秋,author,"#B4B4B4",0,1,1,0,1,1,0.007108,6,0.253755,0.261358,0
杨佑贤,杨佑贤,author,"#B4B4B4",0,1,1,0,1,1,0.005299,6,0.245803,0.253432,0
杨作雨,杨作雨,author,"#B4B4B4",0,1,1,0,1,1,0.009611,6,0.252652,0.263087,0
杨动,杨动,author,"#B4B4B4",0,1,1,0,1,1,0.009611,6,0.252652,0.263087,0
杨学纯,杨学纯,author,"#B4B4B4",0,1,1,0,1,1,0.009611,6,0.252652,0.263087,0
杨宗亿,杨宗亿,author,"#B4B4B4",0,1,1,0,1,1,0.009611,6,0.252652,0.263087,0
杨愚,杨愚,author,"#B4B4B4",0,1,1,0,1,1,0.009611,6,0.252652,0.263087,0
