Id,Label,type,type2,color,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
发行,发行,notion,notion,"#FFFF00",0,14,14,0,23,23,0.072462,4,0.436257,0.463771,133221.87266
发言,发言,notion,notion,"#FFFF00",0,2,2,0,2,2,0.013066,4,0.285032,0.311437,1898.975371
发言人,发言人,notion,notion,"#FFFF00",0,4,4,0,8,8,0.027064,4,0.319786,0.35915,13478.779304
发财,发财,notion,notion,"#FFFF00",0,1,1,0,1,1,0.003712,4,0.259631,0.268506,0
取样,取样,notion,notion,"#FFFF00",0,1,1,0,1,1,0.003712,4,0.259631,0.268506,0
取消,取消,notion,notion,"#FFFF00",0,8,8,0,8,8,0.032433,4,0.322004,0.361947,25355.348205
取缔,取缔,notion,notion,"#FFFF00",0,4,4,0,5,5,0.030137,4,0.328207,0.36918,13859.420532
受不了,受不了,notion,notion,"#FFFF00",0,1,1,0,1,1,0.010019,4,0.281315,0.305617,0
受伤,受伤,notion,notion,"#FFFF00",0,1,1,0,1,1,0.001036,4,0.252248,0.254414,0
变为,变为,notion,notion,"#FFFF00",0,1,1,0,1,1,0.001795,4,0.254284,0.258382,0
变乱,变乱,notion,notion,"#FFFF00",0,3,3,0,3,3,0.019664,4,0.299483,0.332625,5257.699491
变爱,变爱,notion,notion,"#FFFF00",0,1,1,0,2,2,0.010019,4,0.281315,0.305617,0
变端,变端,notion,notion,"#FFFF00",0,1,1,0,2,2,0.003733,4,0.260757,0.270584,0
变迁,变迁,notion,notion,"#FFFF00",0,4,4,0,4,4,0.023711,4,0.307534,0.343578,9760.742458
叙利亚,叙利亚,notion,notion,"#FFFF00",0,1,1,0,2,2,0.007382,4,0.272023,0.290439,0
叛国,叛国,notion,notion,"#FFFF00",0,1,1,0,1,1,0.006205,4,0.268472,0.284361,0
口是心非,口是心非,notion,notion,"#FFFF00",0,2,2,0,2,2,0.003796,4,0.257952,0.265399,103.560028
口红,口红,notion,notion,"#FFFF00",0,1,1,0,1,1,0.001795,4,0.254284,0.258382,0
口诛笔伐,口诛笔伐,notion,notion,"#FFFF00",0,1,1,0,1,1,0.00532,4,0.264792,0.27789,0
古代,古代,notion,notion,"#FFFF00",0,2,2,0,2,2,0.007479,4,0.268873,0.28508,644.697786
古代篇,古代篇,notion,notion,"#FFFF00",0,1,1,0,1,1,0.001424,4,0.253205,0.256288,0
古录,古录,notion,notion,"#FFFF00",0,2,2,0,9,9,0.011004,4,0.277762,0.299959,1258.80359
古都,古都,notion,notion,"#FFFF00",0,1,1,0,1,1,0.004405,4,0.26223,0.273276,0
另一手,另一手,notion,notion,"#FFFF00",0,1,1,0,1,1,0.004405,4,0.26223,0.273276,0
只好,只好,notion,notion,"#FFFF00",0,1,1,0,1,1,0.003712,4,0.259631,0.268506,0
只收,只收,notion,notion,"#FFFF00",0,1,1,0,1,1,0.004405,4,0.26223,0.273276,0
只有,只有,notion,notion,"#FFFF00",0,10,10,0,16,16,0.054683,4,0.376756,0.418414,63606.285968
只要,只要,notion,notion,"#FFFF00",0,2,2,0,2,2,0.013113,4,0.285339,0.31191,1834.527572
只许,只许,notion,notion,"#FFFF00",0,1,1,0,1,1,0.00532,4,0.264792,0.27789,0
召集,召集,notion,notion,"#FFFF00",0,2,2,0,2,2,0.016795,4,0.297441,0.329733,2700.940674
召集人,召集人,notion,notion,"#FFFF00",0,1,1,0,1,1,0.005684,4,0.265963,0.279968,0
叭儿狗,叭儿狗,notion,notion,"#FFFF00",0,1,1,0,1,1,0.000392,4,0.250829,0.251611,0
可怕,可怕,notion,notion,"#FFFF00",0,8,8,0,10,10,0.042613,4,0.355833,0.398854,46397.033479
可怜,可怜,notion,notion,"#FFFF00",0,6,6,0,6,6,0.033346,4,0.333992,0.375829,24163.428416
可惜,可惜,notion,notion,"#FFFF00",0,1,1,0,2,2,0.00532,4,0.264792,0.27789,0
可杀,可杀,notion,notion,"#FFFF00",0,1,1,0,1,1,0.007382,4,0.272023,0.290439,0
可畏,可畏,notion,notion,"#FFFF00",0,4,4,0,4,4,0.026618,4,0.317154,0.355906,10505.002208
可行,可行,notion,notion,"#FFFF00",0,1,1,0,1,1,0.010019,4,0.281315,0.305617,0
可见一斑,可见一斑,notion,notion,"#FFFF00",0,1,1,0,1,1,0.010019,4,0.281315,0.305617,0
可观,可观,notion,notion,"#FFFF00",0,1,1,0,1,1,0.006205,4,0.268472,0.284361,0
台人,台人,notion,notion,"#FFFF00",0,1,1,0,1,1,0.00532,4,0.264792,0.27789,0
台做,台做,notion,notion,"#FFFF00",0,1,1,0,1,1,0.006205,4,0.268472,0.284361,0
台北,台北,notion,notion,"#FFFF00",0,6,6,0,10,10,0.025924,4,0.314105,0.352133,20927.356951
台胞,台胞,notion,notion,"#FFFF00",0,2,2,0,2,2,0.009588,4,0.276178,0.297377,914.530248
台鉴,台鉴,notion,notion,"#FFFF00",0,1,1,0,1,1,0.010019,4,0.281315,0.305617,0
史学史,史学史,notion,notion,"#FFFF00",0,1,1,0,1,1,0.010019,4,0.281315,0.305617,0
史实,史实,notion,notion,"#FFFF00",0,3,3,0,3,3,0.016778,4,0.291532,0.321241,4191.474616
史料,史料,notion,notion,"#FFFF00",0,3,3,0,5,5,0.015582,4,0.291265,0.320848,3869.069224
史达林,史达林,notion,notion,"#FFFF00",0,3,3,0,3,3,0.020814,4,0.30544,0.340765,6199.798977
叶挺,叶挺,notion,notion,"#FFFF00",0,3,3,0,4,4,0.010118,4,0.274563,0.294742,1967.187645
叶楼,叶楼,notion,notion,"#FFFF00",0,1,1,0,1,1,0.010019,4,0.281315,0.305617,0
号角,号角,notion,notion,"#FFFF00",0,2,2,0,2,2,0.007445,4,0.268991,0.285285,1130.301654
司徒,司徒,notion,notion,"#FFFF00",0,10,10,0,19,19,0.051372,4,0.369531,0.411927,61893.717819
司徒美堂,司徒美堂,notion,notion,"#FFFF00",0,1,1,0,1,1,0.003263,4,0.258179,0.265798,0
司徒雷登,司徒雷登,notion,notion,"#FFFF00",0,9,9,0,12,12,0.043265,4,0.346999,0.389937,43522.612377
司法制度,司法制度,notion,notion,"#FFFF00",0,1,1,0,1,1,0.006776,4,0.269878,0.286786,0
司派,司派,notion,notion,"#FFFF00",0,1,1,0,1,1,0.004405,4,0.26223,0.273276,0
司空,司空,notion,notion,"#FFFF00",0,1,1,0,1,1,0.00532,4,0.264792,0.27789,0
司马,司马,notion,notion,"#FFFF00",0,2,2,0,2,2,0.015338,4,0.293418,0.32397,2377.107993
吃奶,吃奶,notion,notion,"#FFFF00",0,1,1,0,1,1,0.004405,4,0.26223,0.273276,0
各党派,各党派,notion,notion,"#FFFF00",0,4,4,0,4,4,0.020478,4,0.300253,0.333722,8021.388171
各大,各大,notion,notion,"#FFFF00",0,1,1,0,1,1,0.007382,4,0.272023,0.290439,0
各政党,各政党,notion,notion,"#FFFF00",0,1,1,0,1,1,0.005684,4,0.265963,0.279968,0
各方,各方,notion,notion,"#FFFF00",0,4,4,0,6,6,0.024066,4,0.312203,0.349656,9331.851861
各自,各自,notion,notion,"#FFFF00",0,1,1,0,1,1,0.005684,4,0.265963,0.279968,0
合一,合一,notion,notion,"#FFFF00",0,2,2,0,2,2,0.016224,4,0.298246,0.330867,3721.726669
合众,合众,notion,notion,"#FFFF00",0,1,1,0,1,1,0.007382,4,0.272023,0.290439,0
