Id,Label,type,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
两个(1948),两个,notion,0,12,12,0,26,26,0.116731,4,0.45481,0.475742,98567.195199
两党(1948),两党,notion,0,4,4,0,5,5,0.046755,4,0.329157,0.37038,12517.610147
两大(1948),两大,notion,0,3,3,0,4,4,0.040732,4,0.317178,0.355983,6314.893682
两种(1948),两种,notion,0,7,7,0,11,11,0.071435,4,0.360457,0.403523,26306.589104
两难(1948),两难,notion,0,2,2,0,3,3,0.027839,4,0.295962,0.327676,1920.33989
中共中央(1948),中共中央,notion,0,2,2,0,8,8,0.026269,4,0.293695,0.324415,1931.353166
中国式(1948),中国式,notion,0,2,2,0,5,5,0.021542,4,0.284314,0.310373,1410.419447
中国通史(1948),中国通史,notion,0,1,1,0,2,2,0.01424,4,0.275514,0.296275,0
中大(1948),中大,notion,0,3,3,0,6,6,0.037813,4,0.309012,0.345568,4605.191573
中央(1948),中央,notion,0,4,4,0,5,5,0.048728,4,0.332243,0.373907,12822.507001
中央委员会(1948),中央委员会,notion,0,2,2,0,5,5,0.026272,4,0.29319,0.323683,1793.896368
中日(1948),中日,notion,0,1,1,0,2,2,0.01424,4,0.275514,0.296275,0
中演(1948),中演,notion,0,1,1,0,2,2,0.009755,4,0.266617,0.281135,0
中间(1948),中间,notion,0,1,1,0,6,6,0.008247,4,0.26379,0.27611,0
主潮(1948),主潮,notion,0,1,1,0,2,2,0.002332,4,0.253398,0.256677,0
之五(1948),之五,notion,0,2,2,0,3,3,0.024267,4,0.290987,0.320456,2179.633602
之六(1948),之六,notion,0,1,1,0,2,2,0.007515,4,0.262793,0.274313,0
之后(1948),之后,notion,0,6,6,0,9,9,0.057925,4,0.342856,0.385665,22995.589441
之君(1948),之君,notion,0,1,1,0,2,2,0.007515,4,0.262793,0.274313,0
之学官(1948),之学官,notion,0,1,1,0,2,2,0.007515,4,0.262793,0.274313,0
之封(1948),之封,notion,0,1,1,0,2,2,0.007515,4,0.262793,0.274313,0
