Id,Label,timeset,type,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
世纪 (n),世纪,,notion,7,0,7,7,0,7,0.007695,10,0.218177,0.229755,22299.888117
李公樸(1945),李公樸,,author,0,10,10,0,10,10,0.024778,9,0.233413,0.248707,32763.010401
从来 (n),从来,,notion,3,0,3,3,0,3,0.005788,9,0.218092,0.229366,234.964965
妇女解放 (n),妇女解放,,notion,2,0,2,2,0,2,0.001601,10,0.191251,0.199364,402.42034
残杀 (n),残杀,,notion,3,0,3,3,0,3,0.005788,9,0.218092,0.229366,234.964965
独裁 (n),独裁,,notion,9,0,9,9,0,9,0.017441,8,0.232547,0.245485,14345.646199
结果 (n),结果,,notion,12,0,12,12,0,12,0.058313,8,0.256762,0.2745,155518.018099
李凌飞(1945),李凌飞,,author,0,7,7,0,7,7,0.014899,9,0.226008,0.239198,40728.093667
严密 (n),严密,,notion,1,0,1,1,0,1,0.000713,10,0.184347,0.191086,0
得失 (n),得失,,notion,1,0,1,1,0,1,0.000713,10,0.184347,0.191086,0
李及(1945),李及,,author,0,8,8,0,8,8,0.030773,9,0.234938,0.251377,27707.709923
偏差 (n),偏差,,notion,3,0,3,3,0,3,0.004153,10,0.205876,0.216812,2428.868014
印度尼西亚 (n),印度尼西亚,,notion,1,0,1,1,0,1,0.001086,10,0.190245,0.198392,0
援助 (n),援助,,notion,12,0,12,14,0,14,0.058894,8,0.254069,0.271863,24938.758066
李善卷(1945),李善卷,,author,0,8,8,0,8,8,0.030488,9,0.240036,0.256658,61124.03076
小市民 (n),小市民,,notion,2,0,2,2,0,2,0.001561,10,0.194133,0.202539,5733.062314
落空 (n),落空,,notion,1,0,1,1,0,1,0.001078,10,0.193575,0.201774,0
李时中(1945),李时中,,author,0,5,5,0,5,5,0.005844,9,0.212319,0.222153,22903.792467
响应 (n),响应,,notion,15,0,15,16,0,16,0.046476,8,0.251075,0.267901,88631.792162
民贼 (n),民贼,,notion,1,0,1,1,0,1,0.000481,10,0.175136,0.18041,0
浦东 (n),浦东,,notion,20,0,20,22,0,22,0.017749,10,0.213611,0.226346,45433.953099
李玄伯(1945),李玄伯,,author,0,12,12,0,12,12,0.010146,9,0.218768,0.230366,88866.809223
义务 (n),义务,,notion,2,0,2,2,0,2,0.00116,10,0.181018,0.187488,551.684474
嗜学 (n),嗜学,,notion,1,0,1,1,0,1,0.000672,10,0.179502,0.185528,0
国人 (n),国人,,notion,2,0,2,2,0,2,0.00123,10,0.186648,0.193847,233.832329
多写 (n),多写,,notion,1,0,1,1,0,1,0.000672,10,0.179502,0.185528,0
平抑 (n),平抑,,notion,2,0,2,2,0,2,0.001099,10,0.179955,0.186149,112.913104
平民 (n),平民,,notion,7,0,7,7,0,7,0.018646,9,0.233436,0.246783,22619.582966
自述 (n),自述,,notion,3,0,3,3,0,3,0.001833,10,0.191483,0.199449,29526.997281
讲座 (n),讲座,,notion,9,0,9,9,0,9,0.012085,10,0.224917,0.23773,12732.609031
风气 (n),风气,,notion,1,0,1,1,0,1,0.000672,10,0.179502,0.185528,0
李自强(1945),李自强,,author,0,4,4,0,4,4,0.00377,9,0.202938,0.21114,5994.121609
杜迈之(1945),杜迈之,,author,0,5,5,0,5,5,0.008869,9,0.2189,0.230271,20292.132684
乐观 (n),乐观,,notion,5,0,5,5,0,5,0.004071,10,0.209075,0.219707,2732.277872
宣战 (n),宣战,,notion,2,0,2,2,0,2,0.001601,10,0.194789,0.203672,107.608279
戒惧 (n),戒惧,,notion,1,0,1,1,0,1,0.00055,10,0.17959,0.185543,0
来秋(1945),来秋,,author,0,2,2,0,2,2,0.000774,11,0.171156,0.177149,14532
指挥 (n),指挥,,notion,1,0,1,1,0,1,0.000332,12,0.146144,0.149808,0
杨佑贤(1945),杨佑贤,,author,0,7,7,0,7,7,0.015983,9,0.226417,0.239641,7275.885462
杨作雨(1945),杨作雨,,author,0,1,1,0,1,1,0.005943,9,0.214963,0.225159,0
杨刚(1945),杨刚,,author,0,6,6,0,6,6,0.038858,9,0.243552,0.262062,9693.654901
罢工 (n),罢工,,notion,7,0,7,7,0,7,0.030034,9,0.242966,0.257954,9843.770877
英美 (n),英美,,notion,20,0,20,24,0,24,0.06607,8,0.257299,0.275972,119360.930663
荷印 (n),荷印,,notion,2,0,2,2,0,2,0.030099,8,0.244907,0.261004,345.675296
杨动(1945),杨动,,author,0,3,3,0,3,3,0.003695,10,0.204118,0.212911,14992.814481
独立自主 (n),独立自主,,notion,1,0,1,1,0,1,0.000411,11,0.169519,0.174367,0
路线 (n),路线,,notion,11,0,11,12,0,12,0.012012,10,0.224458,0.237159,52321.273782
杨卫玉(1945),杨卫玉,,author,0,18,18,0,18,18,0.037679,9,0.242706,0.260747,73200.888019
