Id,Label,timeset,type,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
周子豪,周子豪,,author,0,3,163,0,3,213,0.118607,4,0.488363,0.506866,199.017636
周景星,周景星,,author,0,3,8,0,3,13,0.002383,5,0.373041,0.388884,3.252165
周有光,周有光,,author,0,4,58,0,4,90,0.03711,4,0.449909,0.468453,23.572774
周玲,周玲,,author,0,3,11,0,3,13,0.006468,4,0.439059,0.455215,4.113347
周禾生,周禾生,,author,0,4,36,0,4,56,0.023164,4,0.464018,0.477652,83.937569
周维明,周维明,,author,0,1,14,0,1,16,0.006426,5,0.402079,0.420916,0
周荣为,周荣为,,author,0,7,226,0,7,426,0.175024,4,0.493096,0.515796,654.415929
周钢鸣,周钢鸣,,author,0,0,0,0,0,0,0,0,0,0,0
咏源,咏源,,author,0,2,21,0,2,25,0.015949,4,0.449746,0.464952,1.114766
唐奇格,唐奇格,,author,0,4,72,0,4,118,0.05907,4,0.470127,0.485505,7.961822
唐挚,唐挚,,author,0,3,18,0,3,29,0.005648,5,0.398113,0.41708,15.932492
唐纳文,唐纳文,,author,0,4,80,0,4,130,0.067181,4,0.47524,0.490038,24.950338
喩淦邨,喩淦邨,,author,0,1,10,0,1,16,0.003953,4,0.396541,0.414872,0
喻淦邨,喻淦邨,,author,0,10,426,0,10,738,0.365816,4,0.516048,0.548667,6143.940506
四百零四个大学生,四百零四个大学生,,author,0,3,64,0,3,78,0.04054,4,0.469295,0.484181,46.55086
坎侯,坎侯,,author,0,5,30,0,5,41,0.015635,5,0.410523,0.430946,83.80064
坚璧,坚璧,,author,0,3,15,0,3,28,0.005246,5,0.394184,0.413095,55.314825
城北,城北,,author,0,6,125,0,7,269,0.057338,4,0.479411,0.497128,4461.660128
士心,士心,,author,0,4,145,0,4,188,0.102238,4,0.48215,0.500875,529.66113
复康,复康,,author,0,1,11,0,1,13,0.007923,4,0.439527,0.455574,0
夏子,夏子,,author,0,2,29,0,2,31,0.016133,4,0.426455,0.445634,57.654055
夏棉,夏棉,,author,0,2,18,0,2,19,0.009017,5,0.401818,0.421141,3.941254
夏笃,夏笃,,author,0,1,6,0,1,6,0.004935,4,0.434742,0.451019,0
夏鼐,夏鼐,,author,0,3,8,0,3,18,0.002157,5,0.354423,0.366191,3.170639
大均,大均,,author,0,3,51,0,3,68,0.036925,4,0.456265,0.47294,35.842721
夷康,夷康,,author,0,2,37,0,2,48,0.02898,4,0.461596,0.475924,7.502425
奇虹,奇虹,,author,0,2,2,0,2,2,0.000374,5,0.336932,0.343511,3713
奋生,奋生,,author,0,2,14,0,2,14,0.010826,4,0.442406,0.458311,11.636278
奚永伟,奚永伟,,author,0,4,43,0,5,62,0.025261,4,0.466173,0.479896,96.766756
如蕾,如蕾,,author,0,2,116,0,2,181,0.064875,4,0.480093,0.496747,161.090997
如鸥,如鸥,,author,0,1,8,0,1,10,0.003173,5,0.386794,0.404425,0
姚理,姚理,,author,0,4,113,0,4,176,0.069137,4,0.471559,0.490352,488.465055
姚雪垠,姚雪垠,,author,0,5,385,0,5,719,0.358591,4,0.512488,0.542766,601.536785
子久,子久,,author,0,1,175,0,1,286,0.164866,4,0.490491,0.509424,0
子良,子良,,author,0,2,73,0,2,113,0.053865,4,0.471619,0.486672,133.55867
子规,子规,,author,0,1,1,0,1,1,0.001668,4,0.38487,0.401746,0
孔孝天,孔孝天,,author,0,5,71,0,10,156,0.055699,4,0.460394,0.477944,135.556925
孙保仁,孙保仁,,author,0,4,29,0,4,39,0.016774,4,0.452541,0.467982,126.452081
孙国华,孙国华,,author,0,2,3,0,2,6,0.001124,5,0.345746,0.355484,0
孙国萧,孙国萧,,author,0,2,3,0,4,8,0.001124,5,0.345746,0.355484,0
孙宪辉,孙宪辉,,author,0,5,186,0,5,290,0.136692,4,0.490556,0.510433,411.233714
孙楷弟,孙楷弟,,author,0,3,9,0,6,18,0.003791,4,0.393474,0.411528,29.981681
孙毓棠,孙毓棠,,author,0,1,32,0,1,40,0.034105,4,0.455036,0.470248,0
孙甲,孙甲,,author,0,1,17,0,1,24,0.003014,5,0.375987,0.392937,0
孙蕴,孙蕴,,author,0,7,577,0,7,1100,0.517914,4,0.529361,0.570342,2382.689042
孟启予,孟启予,,author,0,1,17,0,1,17,0.012739,4,0.446341,0.461766,0
孟坚,孟坚,,author,0,4,252,0,4,371,0.179766,4,0.497455,0.521046,220.007746
