Id,Label,timeset,type,indegree,outdegree,Degree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
争执 (n),争执,,notion,1,0,123,158,0.054084,5,0.438043,0.46426,0
姿态 (n),姿态,,notion,2,0,136,172,0.056005,5,0.440442,0.467288,3998.930797
烈士 (n),烈士,,notion,1,0,611,1121,0.925943,4,0.497324,0.547565,0
与民 (n),与民,,notion,1,0,31,33,0.004705,5,0.382477,0.403802,0
公民 (n),公民,,notion,1,0,611,2240,0.925943,4,0.497324,0.547565,0
费孝通 (n),费孝通,,notion,2,0,615,1125,0.926588,4,0.50006,0.549657,827.451096
革命史 (n),革命史,,notion,1,0,6,6,0.000465,5,0.330436,0.342145,0
自学 (n),自学,,notion,1,0,0,0,0,0,0,0,0
起步 (n),起步,,notion,1,0,55,66,0.014049,5,0.393489,0.417424,0
司法 (n),司法,,notion,1,0,2,2,0.001526,5,0.332538,0.345632,0
诞生 (n),诞生,,notion,6,0,187,572,0.060536,5,0.454713,0.482895,14321.201393
委会 (n),委会,,notion,1,0,611,1121,0.925943,4,0.497324,0.547565,0
利益 (n),利益,,notion,2,0,22,24,0.012296,5,0.39286,0.41371,192.663336
地主 (n),地主,,notion,1,0,13,51,0.002496,5,0.380389,0.400825,0
意大利 (n),意大利,,notion,3,0,42,76,0.020051,4,0.421021,0.442472,2095.341629
宋庆龄 (n),宋庆龄,,notion,1,0,611,1121,0.925943,4,0.497324,0.547565,0
拥护 (n),拥护,,notion,1,0,611,1121,0.925943,4,0.497324,0.547565,0
沈钧儒 (n),沈钧儒,,notion,1,0,6,7,0.003866,5,0.380424,0.399697,0
根据 (n),根据,,notion,1,0,11,13,0.005522,5,0.388987,0.408983,0
不容 (n),不容,,notion,1,0,5,5,0.005094,5,0.378051,0.397533,0
丧失 (n),丧失,,notion,1,0,51,63,0.023235,5,0.425476,0.447561,0
回家 (n),回家,,notion,2,0,9,10,0.000339,6,0.317492,0.327371,4181
续二 (n),续二,,notion,1,0,30,65,0.018786,5,0.390476,0.412243,0
印刷所 (n),印刷所,,notion,1,0,21,25,0.009908,5,0.398779,0.419994,0
主动 (n),主动,,notion,1,0,2,2,0.00168,5,0.338706,0.352327,0
人才 (n),人才,,notion,2,0,5,5,0.001826,5,0.375404,0.394106,3641.05216
发挥 (n),发挥,,notion,1,0,75,87,0.026997,5,0.428967,0.452387,0
强化 (n),强化,,notion,1,0,19,21,0.006332,5,0.383248,0.404165,0
