"Id","Label"
"马歇尔特(1945)","马歇尔特"
"马远(1945)","马远"
"高光(1945)","高光"
"高克夫(1945)","高克夫"
"魏友棐(1945)","魏友棐"
"魏金枝(1945)","魏金枝"
"鱼目(1945)","鱼目"
"鲁山(1945)","鲁山"
"鲁迅(1945)","鲁迅"
"鲁逵(1945)","鲁逵"
"鲍尔温(1945)","鲍尔温"
"鲍鸿生(1945)","鲍鸿生"
"黄吉兴(1945)","黄吉兴"
"黄大能(1945)","黄大能"
"黄宗英(1945)","黄宗英"
"黄杉(1945)","黄杉"
"黄河清(1945)","黄河清"
"黄海(1945)","黄海"
"黄道庸(1945)","黄道庸"
"黎华(1945)","黎华"
"黎平(1945)","黎平"
"黎明(1945)","黎明"
"齐人(1945)","齐人"
"龙天峯(1945)","龙天峯"
"（印）约希(1945)","（印）约希"
"（美）安德鲁鲍思(1945)","（美）安德鲁鲍思"
"（美）福尔曼(1945)","（美）福尔曼"
"（美）蓝纳(1945)","（美）蓝纳"
"（苏）Dmitrevsky，N.(1945)","（苏）Dmitrevsky，N."
"（英）马可里(1945)","（英）马可里"
"郑振铎(1946)","郑振铎"
"马叙伦(1946)","马叙伦"
"许广平(1946)","许广平"
"丁聪(1946)","丁聪"
"求思(1946)","求思"
"苏生(1946)","苏生"
"白旭(1946)","白旭"
"张君劢(1946)","张君劢"
"周建人(1946)","周建人"
"黄裳(1946)","黄裳"
"孙宝毅(1946)","孙宝毅"
"何肫林(1946)","何肫林"
"国超(1946)","国超"
"念青(1946)","念青"
"蒲岗(1946)","蒲岗"
"丕强(1946)","丕强"
"毅生(1946)","毅生"
"董秋斯(1946)","董秋斯"
"何之(1946)","何之"
"黄春生(1946)","黄春生"
"华叔甫(1946)","华叔甫"
"黄药眠(1946)","黄药眠"
"关夫(1946)","关夫"
"许若明(1946)","许若明"
"侯北人(1946)","侯北人"
"金大均(1946)","金大均"
"陆诒(1946)","陆诒"
"马戈(1946)","马戈"
"丁静(1946)","丁静"
"司马星(1946)","司马星"
"周琦(1946)","周琦"
"唐思礼(1946)","唐思礼"
"朱树锦(1946)","朱树锦"
"甘草(1946)","甘草"
"许虚(1946)","许虚"
"静远(1946)","静远"
"严信民(1946)","严信民"
"吴晗(1946)","吴晗"
"张东荪(1946)","张东荪"
"方艾(1946)","方艾"
"欧振文(1946)","欧振文"
"潘大逵(1946)","潘大逵"
"蔡尚思(1946)","蔡尚思"
"赵志华(1946)","赵志华"
"邓初民(1946)","邓初民"
"郑森禹(1946)","郑森禹"
"高克奇(1946)","高克奇"
"不移(1946)","不移"
"严艺英(1946)","严艺英"
"伯奇(1946)","伯奇"
"余园(1946)","余园"
"俞颂华(1946)","俞颂华"
"左拉(1946)","左拉"
"施复亮(1946)","施复亮"
"潘光旦(1946)","潘光旦"
"潘静(1946)","潘静"
"王艮仲(1946)","王艮仲"
"石啸冲(1946)","石啸冲"
