Id,Label,type,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
抑价(1945),抑价,notion,0,1,1,0,1,1,0.017046,4,0.27511,0.295698,0
抑平(1945),抑平,notion,0,1,1,0,1,1,0.017046,4,0.27511,0.295698,0
投机(1945),投机,notion,0,2,2,0,2,2,0.052834,4,0.329173,0.370523,1034.68486
投降(1945),投降,notion,0,3,3,0,5,5,0.06988,4,0.357056,0.400381,2966.664044
抗争(1945),抗争,notion,0,1,1,0,1,1,0.026572,4,0.290168,0.319276,0
抗战(1945),抗战,notion,0,2,2,0,8,8,0.052834,4,0.329173,0.370523,1034.68486
抗日(1945),抗日,notion,0,1,1,0,1,1,0.031173,4,0.298246,0.330943,0
抗议(1945),抗议,notion,0,3,3,0,3,3,0.065778,4,0.35374,0.397099,3336.820808
抚慰(1945),抚慰,notion,0,1,1,0,1,1,0.017558,4,0.276219,0.297521,0
报仇(1945),报仇,notion,0,1,1,0,1,1,0.017558,4,0.276219,0.297521,0
报及(1945),报及,notion,0,1,1,0,1,1,0.026262,4,0.28927,0.317939,0
报告(1945),报告,notion,0,1,1,0,1,1,0.026572,4,0.290168,0.319276,0
报界(1945),报界,notion,0,1,1,0,1,1,0.026572,4,0.290168,0.319276,0
报纸(1945),报纸,notion,0,1,1,0,2,2,0.017046,4,0.27511,0.295698,0
抵制(1945),抵制,notion,0,1,1,0,1,1,0.031173,4,0.298246,0.330943,0
抽象(1945),抽象,notion,0,1,1,0,1,1,0.017558,4,0.276219,0.297521,0
招唤(1945),招唤,notion,0,1,1,0,1,1,0.026262,4,0.28927,0.317939,0
持久和平(1945),持久和平,notion,0,1,1,0,1,1,0.026572,4,0.290168,0.319276,0
指挥(1945),指挥,notion,0,1,1,0,1,1,0.026262,4,0.28927,0.317939,0
挽救(1945),挽救,notion,0,1,1,0,1,1,0.017558,4,0.276219,0.297521,0
接收(1945),接收,notion,0,2,2,0,3,3,0.048219,4,0.324602,0.365176,1207.544156
控拆(1945),控拆,notion,0,1,1,0,1,1,0.026262,4,0.28927,0.317939,0
控诉(1945),控诉,notion,0,2,2,0,2,2,0.034604,4,0.30148,0.335643,973.822832
推荐(1945),推荐,notion,0,1,1,0,1,1,0.026262,4,0.28927,0.317939,0
措施(1945),措施,notion,0,2,2,0,2,2,0.04382,4,0.314959,0.353387,954.027702
措置(1945),措置,notion,0,1,1,0,1,1,0.031173,4,0.298246,0.330943,0
插曲(1945),插曲,notion,0,1,1,0,1,1,0.017558,4,0.276219,0.297521,0
揭晓(1945),揭晓,notion,0,1,1,0,1,1,0.026262,4,0.28927,0.317939,0
援助(1945),援助,notion,0,1,1,0,1,1,0.017558,4,0.276219,0.297521,0
搁浅(1945),搁浅,notion,0,1,1,0,1,1,0.017046,4,0.27511,0.295698,0
摇身一变(1945),摇身一变,notion,0,1,1,0,1,1,0.031173,4,0.298246,0.330943,0
摧残(1945),摧残,notion,0,1,1,0,1,1,0.031173,4,0.298246,0.330943,0
撤废(1945),撤废,notion,0,1,1,0,1,1,0.031173,4,0.298246,0.330943,0
收场(1945),收场,notion,0,1,1,0,1,1,0.017558,4,0.276219,0.297521,0
收复(1945),收复,notion,0,2,2,0,2,2,0.043618,4,0.314574,0.352901,923.024553
收复区(1945),收复区,notion,0,2,2,0,4,4,0.043618,4,0.314574,0.352901,923.024553
收换(1945),收换,notion,0,1,1,0,1,1,0.017046,4,0.27511,0.295698,0
收获(1945),收获,notion,0,2,2,0,2,2,0.043308,4,0.314574,0.352901,1008.954631
改变(1945),改变,notion,0,1,1,0,1,1,0.026262,4,0.28927,0.317939,0
改名(1945),改名,notion,0,1,1,0,1,1,0.031173,4,0.298246,0.330943,0
改善(1945),改善,notion,0,2,2,0,3,3,0.052834,4,0.329173,0.370523,1034.68486
