Source,Target,Type,Id,Label,timeset,Weight,year,place,journal,MMNT-EdgeType
生活 (n),实施 (n),Undirected,232515,notion-notion,,1,,,,notion<--->notion
生活 (n),民主运动 (n),Undirected,232516,notion-notion,,1,,,,notion<--->notion
生活 (n),战争 (n),Undirected,232517,notion-notion,,2,,,,notion<--->notion
生活 (n),文化 (n),Undirected,232518,notion-notion,,1,,,,notion<--->notion
生活 (n),当前 (n),Undirected,232519,notion-notion,,2,,,,notion<--->notion
生活 (n),国共两党 (n),Undirected,232520,notion-notion,,1,,,,notion<--->notion
生活 (n),态度 (n),Undirected,232521,notion-notion,,1,,,,notion<--->notion
生活 (n),制度 (n),Undirected,232522,notion-notion,,2,,,,notion<--->notion
生活 (n),罗斯福 (n),Undirected,232523,notion-notion,,1,,,,notion<--->notion
生活 (n),科学 (n),Undirected,232524,notion-notion,,2,,,,notion<--->notion
生活 (n),五十 (n),Undirected,232525,notion-notion,,1,,,,notion<--->notion
生活 (n),今后 (n),Undirected,232526,notion-notion,,1,,,,notion<--->notion
生活 (n),希望 (n),Undirected,232527,notion-notion,,3,,,,notion<--->notion
生活 (n),建国 (n),Undirected,232528,notion-notion,,1,,,,notion<--->notion
生活 (n),茅盾 (n),Undirected,232529,notion-notion,,1,,,,notion<--->notion
生活 (n),我国 (n),Undirected,232530,notion-notion,,1,,,,notion<--->notion
生活 (n),抗战 (n),Undirected,232531,notion-notion,,1,,,,notion<--->notion
生活 (n),团结 (n),Undirected,232532,notion-notion,,1,,,,notion<--->notion
生活 (n),大后方 (n),Undirected,232533,notion-notion,,1,,,,notion<--->notion
生活 (n),转捩 (n),Undirected,232534,notion-notion,,1,,,,notion<--->notion
生活 (n),局势 (n),Undirected,232535,notion-notion,,1,,,,notion<--->notion
生活 (n),献言 (n),Undirected,232536,notion-notion,,1,,,,notion<--->notion
生活 (n),要求 (n),Undirected,232537,notion-notion,,1,,,,notion<--->notion
生活 (n),政党 (n),Undirected,232538,notion-notion,,2,,,,notion<--->notion
生活 (n),逝世 (n),Undirected,232539,notion-notion,,1,,,,notion<--->notion
生活 (n),学生 (n),Undirected,232540,notion-notion,,1,,,,notion<--->notion
生活 (n),那里 (n),Undirected,232541,notion-notion,,1,,,,notion<--->notion
生活 (n),需要 (n),Undirected,232542,notion-notion,,2,,,,notion<--->notion
生活 (n),农民 (n),Undirected,232543,notion-notion,,2,,,,notion<--->notion
生活 (n),自由 (n),Undirected,232544,notion-notion,,3,,,,notion<--->notion
生活 (n),一点 (n),Undirected,232545,notion-notion,,1,,,,notion<--->notion
生活 (n),条件 (n),Undirected,232546,notion-notion,,2,,,,notion<--->notion
生活 (n),个人主义 (n),Undirected,232547,notion-notion,,2,,,,notion<--->notion
生活 (n),享受 (n),Undirected,232548,notion-notion,,2,,,,notion<--->notion
生活 (n),几句话 (n),Undirected,232549,notion-notion,,2,,,,notion<--->notion
生活 (n),声中 (n),Undirected,232550,notion-notion,,2,,,,notion<--->notion
生活 (n),大战 (n),Undirected,232551,notion-notion,,2,,,,notion<--->notion
生活 (n),实用主义 (n),Undirected,232552,notion-notion,,2,,,,notion<--->notion
