Id,Label,timeset,type,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
萨洛扬 (n),萨洛扬,,notion,1,0,1,1,0,1,0.000516,15,0.10378,0.105601,0
迎浅予 (n),迎浅予,,notion,1,0,1,1,0,1,0.000516,15,0.10378,0.105601,0
冯大麟(1947),冯大麟,,author,0,6,6,0,6,6,0.006662,9,0.217053,0.231988,19213.423577
文艺复兴 (n),文艺复兴,,notion,1,0,1,1,0,1,0.000673,10,0.178349,0.186126,0
重来 (n),重来,,notion,1,0,1,1,0,1,0.000673,10,0.178349,0.186126,0
冯契(1947),冯契,,author,0,7,7,0,7,7,0.009202,10,0.224912,0.241071,25813.823477
中西文化 (n),中西文化,,notion,1,0,1,1,0,1,0.000753,11,0.183621,0.191932,0
冲突 (n),冲突,,notion,2,0,2,2,0,2,0.001605,11,0.186735,0.196003,527.954945
季世 (n),季世,,notion,1,0,1,1,0,1,0.000753,11,0.183621,0.191932,0
汇合 (n),汇合,,notion,1,0,1,1,0,1,0.000753,11,0.183621,0.191932,0
冯明源(1947),冯明源,,author,0,4,4,0,4,4,0.004281,10,0.207588,0.220016,10859.580971
最眞实 (n),最眞实,,notion,1,0,1,1,0,1,0.00055,11,0.171908,0.178665,0
陈述 (n),陈述,,notion,1,0,1,1,0,1,0.00055,11,0.171908,0.178665,0
冯明章(1947),冯明章,,author,0,3,3,0,3,3,0.004449,10,0.202285,0.213413,487.494714
冯达生(1947),冯达生,,author,0,8,8,0,8,8,0.017419,9,0.24334,0.263723,22165.114299
冰波(1947),冰波,,author,0,4,4,0,4,4,0.001749,11,0.164117,0.170545,16245
使用 (n),使用,,notion,1,0,1,1,0,1,0.00049,12,0.140983,0.144927,0
戒严令 (n),戒严令,,notion,1,0,1,1,0,1,0.00049,12,0.140983,0.144927,0
随意 (n),随意,,notion,1,0,1,1,0,1,0.00049,12,0.140983,0.144927,0
冶秋(1947),冶秋,,author,0,2,2,0,2,2,0.002605,10,0.207604,0.219741,5416
冷御秋(1947),冷御秋,,author,0,3,3,0,3,3,0.004891,11,0.20274,0.215697,6017.267612
一得 (n),一得,,notion,1,0,1,1,0,1,0.000566,12,0.16857,0.175599,0
冷火(1947),冷火,,author,0,4,4,0,4,4,0.003016,10,0.208226,0.220017,11647.541537
严杰 (n),严杰,,notion,1,0,1,1,0,1,0.000519,11,0.172346,0.178753,0
天真 (n),天真,,notion,1,0,1,1,0,1,0.000519,11,0.172346,0.178753,0
之役 (n),之役,,notion,1,0,1,1,0,1,0.000876,11,0.179662,0.187547,0
失守 (n),失守,,notion,1,0,1,1,0,1,0.000876,11,0.179662,0.187547,0
政界 (n),政界,,notion,1,0,1,1,0,1,0.000876,11,0.179662,0.187547,0
凌卓(1947),凌卓,,author,0,8,8,0,8,8,0.003805,11,0.185889,0.19533,27676.548996
发现 (n),发现,,notion,1,0,1,1,0,1,0.000622,12,0.156756,0.162115,0
封信 (n),封信,,notion,1,0,1,1,0,1,0.000622,12,0.156756,0.162115,0
新近 (n),新近,,notion,1,0,1,1,0,1,0.000622,12,0.156756,0.162115,0
美女 (n),美女,,notion,1,0,1,1,0,1,0.000622,12,0.156756,0.162115,0
莫泊桑 (n),莫泊桑,,notion,1,0,1,1,0,1,0.000622,12,0.156756,0.162115,0
凡影(1947),凡影,,author,0,3,3,0,3,3,0.003903,10,0.213427,0.227259,5772.846955
派系 (n),派系,,notion,1,0,1,1,0,1,0.000529,11,0.175894,0.183301,0
凤子(1947),凤子,,author,0,4,4,0,4,4,0.002168,11,0.184459,0.192913,1627.980096
岁暮 (n),岁暮,,notion,2,0,2,2,0,2,0.001963,11,0.186311,0.195823,815.25158
空白 (n),空白,,notion,2,0,2,2,0,2,0.001879,10,0.195934,0.206738,1109.82051
拉丁 (n),拉丁,,notion,1,0,1,1,0,1,0.000507,11,0.172521,0.17987,0
刘乃诚(1947),刘乃诚,,author,0,2,2,0,2,2,0.005992,10,0.227042,0.243383,1952.46968
刘义(1947),刘义,,author,0,2,2,0,2,2,0.004031,10,0.217419,0.231062,5416
猎奇 (n),猎奇,,notion,1,0,1,1,0,1,0.000516,11,0.178596,0.185826,0
刘书春(1947),刘书春,,author,0,1,1,0,1,1,0.001148,10,0.188805,0.197093,0
刘云舫(1947),刘云舫,,author,0,2,2,0,2,2,0.008343,10,0.223594,0.239967,62.87257
刘任民(1947),刘任民,,author,0,4,4,0,4,4,0.005438,10,0.214764,0.228801,6091.472966
中之 (n),中之,,notion,1,0,1,1,0,1,0.000584,11,0.176801,0.184276,0
