Id,Label,type,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
廿五年(1947),廿五年,notion,0,1,1,0,1,1,0.014222,4,0.275404,0.296091,0
廿年(1947),廿年,notion,0,1,1,0,1,1,0.011229,4,0.270366,0.287632,0
开会(1947),开会,notion,0,1,1,0,1,1,0.017323,4,0.281723,0.306272,0
开去(1947),开去,notion,0,1,1,0,1,1,0.014732,4,0.276453,0.297813,0
开封(1947),开封,notion,0,1,1,0,2,2,0.013711,4,0.275027,0.295469,0
开展(1947),开展,notion,0,4,4,0,4,4,0.039324,4,0.321074,0.360834,9597.021393
开幕(1947),开幕,notion,0,2,2,0,2,2,0.024032,4,0.290894,0.320321,1695.498775
开拓(1947),开拓,notion,0,1,1,0,1,1,0.007422,4,0.26356,0.275695,0
开放(1947),开放,notion,0,7,7,0,13,13,0.087852,4,0.407315,0.443448,33925.397637
开明(1947),开明,notion,0,1,1,0,1,1,0.011229,4,0.270366,0.287632,0
开禁(1947),开禁,notion,0,1,1,0,1,1,0.014081,4,0.275493,0.296238,0
开端(1947),开端,notion,0,2,2,0,2,2,0.017299,4,0.278915,0.301865,688.562525
开释(1947),开释,notion,0,1,1,0,1,1,0.017323,4,0.281723,0.306272,0
开除(1947),开除,notion,0,3,3,0,4,4,0.039532,4,0.319751,0.359162,6816.359733
异哉(1947),异哉,notion,0,1,1,0,1,1,0.017323,4,0.281723,0.306272,0
异域(1947),异域,notion,0,1,1,0,1,1,0.007422,4,0.26356,0.275695,0
异己(1947),异己,notion,0,1,1,0,1,1,0.014081,4,0.275493,0.296238,0
异战(1947),异战,notion,0,1,1,0,1,1,0.014732,4,0.276453,0.297813,0
异邦(1947),异邦,notion,0,1,1,0,1,1,0.014222,4,0.275404,0.296091,0
弃市(1947),弃市,notion,0,1,1,0,1,1,0.011229,4,0.270366,0.287632,0
弄清(1947),弄清,notion,0,1,1,0,2,2,0.011229,4,0.270366,0.287632,0
弄通(1947),弄通,notion,0,1,1,0,1,1,0.011229,4,0.270366,0.287632,0
弊端(1947),弊端,notion,0,1,1,0,1,1,0.009035,4,0.265075,0.278404,0
弔民伐罪(1947),弔民伐罪,notion,0,1,1,0,1,1,0.014222,4,0.275404,0.296091,0
引伸(1947),引伸,notion,0,1,1,0,1,1,0.014081,4,0.275493,0.296238,0
引入歧途(1947),引入歧途,notion,0,1,1,0,1,1,0.017323,4,0.281723,0.306272,0
引导(1947),引导,notion,0,1,1,0,1,1,0.00981,4,0.267191,0.28214,0
引用(1947),引用,notion,0,1,1,0,1,1,0.014222,4,0.275404,0.296091,0
引错(1947),引错,notion,0,1,1,0,1,1,0.014732,4,0.276453,0.297813,0
弗朗哥(1947),弗朗哥,notion,0,1,1,0,1,1,0.014732,4,0.276453,0.297813,0
张作霖(1947),张作霖,notion,0,1,1,0,1,1,0.014222,4,0.275404,0.296091,0
张发奎(1947),张发奎,notion,0,1,1,0,1,1,0.013711,4,0.275027,0.295469,0
张园(1947),张园,notion,0,1,1,0,1,1,0.017323,4,0.281723,0.306272,0
张学良(1947),张学良,notion,0,2,2,0,2,2,0.022072,4,0.287175,0.314755,862.424175
张家口(1947),张家口,notion,0,1,1,0,1,1,0.014732,4,0.276453,0.297813,0
张居正(1947),张居正,notion,0,1,1,0,1,1,0.014222,4,0.275404,0.296091,0
张弘(1947),张弘,notion,0,1,1,0,1,1,0.017323,4,0.281723,0.306272,0
张氏(1947),张氏,notion,0,1,1,0,1,1,0.014732,4,0.276453,0.297813,0
张网(1947),张网,notion,0,1,1,0,1,1,0.007422,4,0.26356,0.275695,0
张美淦(1947),张美淦,notion,0,1,1,0,1,1,0.011229,4,0.270366,0.287632,0
张羣(1947),张羣,notion,0,1,1,0,1,1,0.014081,4,0.275493,0.296238,0
弥补(1947),弥补,notion,0,1,1,0,1,1,0.014222,4,0.275404,0.296091,0
弱小民族(1947),弱小民族,notion,0,1,1,0,1,1,0.000869,4,0.251131,0.252222,0
弱点(1947),弱点,notion,0,1,1,0,1,1,0.017323,4,0.281723,0.306272,0
强力(1947),强力,notion,0,1,1,0,1,1,0.002092,4,0.25318,0.25625,0
强化(1947),强化,notion,0,1,1,0,1,1,0.007422,4,0.26356,0.275695,0
强奸(1947),强奸,notion,0,1,1,0,2,2,0.014732,4,0.276453,0.297813,0
强姦(1947),强姦,notion,0,1,1,0,1,1,0.009035,4,0.265075,0.278404,0
强姦案(1947),强姦案,notion,0,1,1,0,1,1,0.014081,4,0.275493,0.296238,0
强权政治(1947),强权政治,notion,0,1,1,0,1,1,0.014222,4,0.275404,0.296091,0
强渡(1947),强渡,notion,0,1,1,0,1,1,0.013711,4,0.275027,0.295469,0
强点(1947),强点,notion,0,1,1,0,1,1,0.017323,4,0.281723,0.306272,0
强盗(1947),强盗,notion,0,1,1,0,1,1,0.013711,4,0.275027,0.295469,0
强硬(1947),强硬,notion,0,1,1,0,1,1,0.009035,4,0.265075,0.278404,0
强调(1947),强调,notion,0,1,1,0,1,1,0.017323,4,0.281723,0.306272,0
强辞(1947),强辞,notion,0,1,1,0,1,1,0.017323,4,0.281723,0.306272,0
归于(1947),归于,notion,0,1,1,0,1,1,0.00981,4,0.267191,0.28214,0
归客(1947),归客,notion,0,1,1,0,1,1,0.014081,4,0.275493,0.296238,0
归属(1947),归属,notion,0,1,1,0,1,1,0.014081,4,0.275493,0.296238,0
归来(1947),归来,notion,0,3,3,0,3,3,0.039532,4,0.319751,0.359162,6816.359733
归还(1947),归还,notion,0,1,1,0,1,1,0.014081,4,0.275493,0.296238,0
当代(1947),当代,notion,0,1,1,0,1,1,0.002092,4,0.25318,0.25625,0
当作(1947),当作,notion,0,1,1,0,1,1,0.013711,4,0.275027,0.295469,0
当兵(1947),当兵,notion,0,1,1,0,1,1,0.014732,4,0.276453,0.297813,0
当局(1947),当局,notion,0,4,4,0,5,5,0.047381,4,0.331907,0.373541,9930.284138
当年(1947),当年,notion,0,2,2,0,2,2,0.024745,4,0.295069,0.3264,2684.608967
当心(1947),当心,notion,0,3,3,0,4,4,0.032361,4,0.30646,0.342207,6339.208536
当急(1947),当急,notion,0,1,1,0,1,1,0.011229,4,0.270366,0.287632,0
当时(1947),当时,notion,0,1,1,0,1,1,0.007422,4,0.26356,0.275695,0
当权(1947),当权,notion,0,1,1,0,1,1,0.011229,4,0.270366,0.287632,0
当选(1947),当选,notion,0,1,1,0,1,1,0.017323,4,0.281723,0.306272,0
录之五(1947),录之五,notion,0,1,1,0,1,1,0.007422,4,0.26356,0.275695,0
录之六(1947),录之六,notion,0,1,1,0,1,1,0.007422,4,0.26356,0.275695,0
形势(1947),形势,notion,0,6,6,0,6,6,0.074916,4,0.387216,0.427457,28650.565513
形式(1947),形式,notion,0,2,2,0,2,2,0.028954,4,0.300154,0.333577,2064.821066
形成(1947),形成,notion,0,2,2,0,2,2,0.011128,4,0.267547,0.282823,588.117547
影剧(1947),影剧,notion,0,1,1,0,1,1,0.014222,4,0.275404,0.296091,0
影响(1947),影响,notion,0,3,3,0,3,3,0.033383,4,0.30932,0.345979,6783.15286
影城(1947),影城,notion,0,1,1,0,1,1,0.017323,4,0.281723,0.306272,0
影子(1947),影子,notion,0,1,1,0,1,1,0.014732,4,0.276453,0.297813,0
影片(1947),影片,notion,0,1,1,0,1,1,0.003699,4,0.256009,0.261706,0
影讯(1947),影讯,notion,0,1,1,0,1,1,0.014732,4,0.276453,0.297813,0
彼得(1947),彼得,notion,0,1,1,0,1,1,0.00981,4,0.267191,0.28214,0
